chip,well,gt_ttp_min,n_pix,TTP (threshold-derivative),Cy0,SDM,TTP (threshold-derivative)__err
conc_260812_KP_01,0,3.7774081230163574,1403,10.666666984558105,6.605622358090548,6.0,
conc_260812_KP_01,1,4.08798360824585,1452,11.399999618530273,6.958282439504452,7.800000190734863,
conc_260812_KP_01,2,5.087782859802246,1449,14.466666221618652,9.328153614746036,7.666666507720947,
conc_260812_KP_01,3,6.131709575653076,1442,15.533333778381348,10.420652658919089,11.199999809265137,
conc_260812_KP_01,4,4.316560745239258,1426,10.666666984558105,7.367828367960969,7.666666507720947,
conc_260812_KP_01,5,5.031332969665527,1431,12.533333778381348,8.762487222394665,7.800000190734863,
conc_260812_KP_01,6,7.26177453994751,456,14.933333396911621,11.468304286195949,4.333333492279053,
conc_260812_KP_01,7,7.364556312561035,882,14.666666984558105,11.86082653745623,11.199999809265137,
conc_260812_KP_01,8,,7,6.400000095367432,4.343753993180542,2.799999952316284,
conc_260812_KP_01,9,,1566,23.33333396911621,19.8869374703465,12.333333015441895,
conc_260813_KP_DDM_02,0,4.510496139526367,1511,11.133333206176758,7.6337234067815745,7.800000190734863,
conc_260813_KP_DDM_02,1,6.179041862487793,1486,12.266666412353516,10.372953838644282,5.800000190734863,
conc_260813_KP_DDM_02,2,6.1332106590271,1532,13.533333778381348,10.461837070753901,6.066666603088379,
conc_260813_KP_DDM_02,3,6.3115386962890625,1498,15.533333778381348,16.802342066224607,19.266666412353516,
conc_260813_KP_DDM_02,4,4.584334373474121,1518,11.533333778381348,7.684356488886315,6.066666603088379,
conc_260813_KP_DDM_02,5,5.70652961730957,1499,12.199999809265137,9.11736472956755,5.800000190734863,
conc_260813_KP_DDM_02,6,5.746182918548584,1540,12.466666221618652,9.424515303373202,6.066666603088379,
conc_260813_KP_DDM_02,7,6.249848365783691,1336,14.199999809265137,16.122839533693828,19.266666412353516,
conc_260813_KP_DDM_02,8,,1587,23.33333396911621,7.693250840706401,6.066666603088379,
conc_260813_KP_DDM_02,9,,74,10.0,7.716980342489609,6.199999809265137,
conc_260820_KP_DDM_03,0,5.325293064117432,962,14.266666412353516,10.41310070260451,9.466666221618652,
conc_260820_KP_DDM_03,1,6.000418663024902,1445,15.466666221618652,11.860109998566353,11.399999618530273,
conc_260820_KP_DDM_03,2,7.006622314453125,1031,16.46666717529297,13.757139511275597,7.199999809265137,
conc_260820_KP_DDM_03,3,8.432414054870605,1235,18.46666717529297,15.401843469789323,8.800000190734863,
conc_260820_KP_DDM_03,4,4.767240047454834,1337,13.466666221618652,9.8031343565485,8.466666221618652,
conc_260820_KP_DDM_03,5,5.781121730804443,1483,14.933333396911621,11.582215285554183,11.133333206176758,
conc_260820_KP_DDM_03,6,6.671157360076904,1467,16.46666717529297,13.217404776654881,7.199999809265137,
conc_260820_KP_DDM_03,7,7.204405784606934,1430,16.46666717529297,14.200298589611887,11.399999618530273,
conc_260820_KP_DDM_03,8,,1460,15.466666221618652,9.714855754315767,7.199999809265137,
conc_260820_KP_DDM_03,9,,1584,,10.608474356002482,8.800000190734863,returned NaN
conc_260823_KP_DDM_04,0,6.1019368171691895,1636,13.800000190734863,9.08430473980709,8.266666412353516,
conc_260823_KP_DDM_04,1,6.270089149475098,1638,14.466666221618652,9.711663184912132,8.266666412353516,
conc_260823_KP_DDM_04,2,8.774834632873535,1568,16.66666603088379,13.986228573169495,9.866666793823242,
conc_260823_KP_DDM_04,3,7.97608757019043,1457,16.133333206176758,13.632159519512378,9.733333587646484,
conc_260823_KP_DDM_04,4,5.4853363037109375,1594,12.533333778381348,8.406028896834531,8.266666412353516,
conc_260823_KP_DDM_04,5,6.487214088439941,1569,13.266666412353516,10.026722632237057,8.266666412353516,
conc_260823_KP_DDM_04,6,7.656062126159668,1469,14.199999809265137,11.706765797546494,8.266666412353516,
conc_260823_KP_DDM_04,7,8.352910041809082,1528,16.53333282470703,13.575416302746588,8.266666412353516,
conc_260823_KP_DDM_04,8,,1269,14.199999809265137,10.643393975926672,8.266666412353516,
conc_260823_KP_DDM_04,9,,1590,22.0,19.702545433966165,8.266666412353516,
conc_260827_KP_DDM_05,0,4.4128546714782715,686,12.133333206176758,8.337811415792375,4.4666666984558105,
conc_260827_KP_DDM_05,1,5.262869358062744,1022,15.0,9.739921249756849,9.466666221618652,
conc_260827_KP_DDM_05,2,7.676451683044434,833,22.266666412353516,16.951252968274687,14.866666793823242,
conc_260827_KP_DDM_05,3,7.53913688659668,1258,21.866666793823242,17.591875998185756,14.866666793823242,
conc_260827_KP_DDM_05,4,4.243134498596191,919,12.199999809265137,8.33462207086706,6.666666507720947,
conc_260827_KP_DDM_05,5,4.6116790771484375,1221,14.733333587646484,9.048798786426914,9.466666221618652,
conc_260827_KP_DDM_05,6,6.016468048095703,990,18.399999618530273,15.177835580518888,14.866666793823242,
conc_260827_KP_DDM_05,7,7.31209659576416,1196,21.600000381469727,17.89695293288072,14.866666793823242,
conc_260827_KP_DDM_05,8,,1131,12.133333206176758,7.490025037597258,6.666666507720947,
conc_260827_KP_DDM_05,9,,1432,7.266666889190674,6.402066048968661,4.400000095367432,
