contender,seed,acc_pixel,precision,recall,f1,acc_well,n_wells,tp,fp,tn,fn
A1_alpha0.5_SSL_50ep,0,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
A1_alpha0.5_SSL_50ep,1,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
A1_alpha0.5_SSL_50ep,2,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
A1_alpha0.5_SSL_50ep,3,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
A1_alpha0.5_SSL_50ep,4,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
A3_alpha0.5_SSL_100ep,0,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
A3_alpha0.5_SSL_100ep,1,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
A3_alpha0.5_SSL_100ep,2,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
A3_alpha0.5_SSL_100ep,3,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
A3_alpha0.5_SSL_100ep,4,0.7928255372945638,0.7928255372945638,1.0,0.8844424856765095,0.8333333333333334,6,5017,1311,0,0
